DATE,RTWVDAK684NMFRBDAL,RTWVDAL684NMFRBDAL,RTWVDAR684NMFRBDAL,RTWVDAZ684NMFRBDAL,RTWVDCA684NMFRBDAL,RTWVDCO684NMFRBDAL,RTWVDCT684NMFRBDAL,RTWVDDE684NMFRBDAL,RTWVDFL684NMFRBDAL,RTWVDGA684NMFRBDAL,RTWVDHI684NMFRBDAL,RTWVDIA684NMFRBDAL,RTWVDID684NMFRBDAL,RTWVDIL684NMFRBDAL,RTWVDIN684NMFRBDAL,RTWVDKS684NMFRBDAL,RTWVDKY684NMFRBDAL,RTWVDLA684NMFRBDAL,RTWVDMA684NMFRBDAL,RTWVDMD684NMFRBDAL,RTWVDME684NMFRBDAL,RTWVDMI684NMFRBDAL,RTWVDMN684NMFRBDAL,RTWVDMO684NMFRBDAL,RTWVDMS684NMFRBDAL,RTWVDMT684NMFRBDAL,RTWVDNC684NMFRBDAL,RTWVDND684NMFRBDAL,RTWVDNE684NMFRBDAL,RTWVDNH684NMFRBDAL,RTWVDNJ684NMFRBDAL,RTWVDNM684NMFRBDAL,RTWVDNV684NMFRBDAL,RTWVDNY684NMFRBDAL,RTWVDOH684NMFRBDAL,RTWVDOK684NMFRBDAL,RTWVDOR684NMFRBDAL,RTWVDPA684NMFRBDAL,RTWVDRI684NMFRBDAL,RTWVDSC684NMFRBDAL,RTWVDSD684NMFRBDAL,RTWVDTN684NMFRBDAL,RTWVDTX684NMFRBDAL,RTWVDUT684NMFRBDAL,RTWVDVA684NMFRBDAL,RTWVDVT684NMFRBDAL,RTWVDWA684NMFRBDAL,RTWVDWI684NMFRBDAL,RTWVDWV684NMFRBDAL,RTWVDWY684NMFRBDAL
1990-07-01,115.8187,101.5367,97.6158,95.5814,100.0214,101.0472,99.4445,92.9284,97.7179,100.1835,109.5797,99.1413,104.1192,97.2105,97.1198,100.4614,99.4823,106.4385,101.0344,98.2358,97.5011,91.7422,100.0078,94.0925,98.4300,102.8742,100.4812,92.8498,101.2741,97.8867,97.8287,97.0658,101.5564,100.0008,97.1172,98.1040,105.0677,97.2888,96.9363,98.7188,98.7004,97.3784,92.7968,99.8639,101.0189,93.3664,101.5367,97.3294,96.9263,98.5274
1990-08-01,114.8741,99.9268,96.6305,94.3588,98.6833,99.1287,97.6729,92.1373,98.2918,98.7518,108.4276,97.7925,103.1695,95.8829,95.9106,99.1429,97.6201,105.0229,98.9729,96.5376,96.3731,91.0511,98.2759,92.8033,97.2379,101.8832,98.9060,92.0464,100.1404,96.2964,96.1647,95.7744,99.9267,98.1038,95.9075,96.5331,104.0566,96.0731,95.3723,97.1503,97.2748,96.2177,92.0054,98.6577,98.7036,92.8434,99.911,95.9887,94.9648,98.145
1990-09-01,110.4239,99.2517,96.4781,93.9392,97.7683,98.3904,97.3691,93.2560,99.0804,98.4956,104.7726,97.1351,101.2269,95.9183,95.9561,98.4843,97.4892,103.8063,98.6840,96.3646,96.6499,91.9554,97.9184,93.3770,97.6617,101.5830,98.4129,93.0058,99.2640,96.3295,96.1200,95.9046,100.3787,97.7803,96.1747,96.6154,102.4058,96.3567,95.3868,96.8773,97.5146,96.2934,91.8621,98.4253,97.9873,94.1679,98.4367,96.333,94.8465,96.6374
1990-10-01,104.8859,96.9140,94.7166,92.4975,95.7188,95.8302,95.2843,92.6594,97.4404,96.7477,100.2599,94.9013,97.5525,94.5138,94.4717,96.4908,95.3925,101.4018,96.4410,94.4407,95.5769,91.2798,95.7669,92.1041,95.7929,99.6242,96.2243,92.5078,96.7701,94.5189,94.4281,94.6712,98.9268,95.6084,94.8304,95.2358,99.5713,95.1938,93.7102,95.1632,95.7924,94.917,90.9252,96.6946,95.3753,93.6754,95.8448,95.0081,92.604,94.9297
1990-11-01,104.7240,96.4825,94.2937,91.8773,95.2871,95.0600,94.6730,92.2159,96.2483,96.1788,100.1646,94.3893,97.5302,94.1011,94.0513,95.8015,94.5952,101.3612,95.7161,93.5461,95.1210,90.9261,95.0755,91.5221,95.0313,99.2201,95.4965,92.1733,96.2602,93.7093,93.7718,94.0930,98.3196,94.7772,94.3816,94.8291,99.4461,94.8051,92.9189,94.8492,94.9822,94.413,90.2016,96.3596,94.3549,93.432,95.7354,94.6121,91.8857,94.7757
1990-12-01,107.6272,97.3041,94.9525,92.1569,96.1156,96.1614,95.5902,92.1871,95.6653,96.8375,102.5940,95.3561,99.0366,94.6143,94.6180,96.5658,95.4608,102.5474,96.7372,94.1024,95.5430,90.9406,96.0131,91.8056,95.5010,100.0042,96.4012,92.0568,97.4210,94.3486,94.4078,94.4091,98.8606,95.6472,94.9173,95.5314,100.9136,95.1603,93.4719,95.5645,95.5281,94.8583,89.7591,97.207,95.5113,93.4659,97.3738,95.2343,92.7909,95.1415
1991-01-01,107.3315,96.9036,94.1658,91.7474,95.7710,95.9741,95.0851,90.7120,96.0113,96.4881,102.2099,94.7783,98.5207,93.8247,93.7759,95.8689,95.0175,102.7819,96.3668,93.7342,94.8469,89.4428,95.5356,90.8326,95.0809,98.7954,96.1067,90.9503,96.8851,93.7880,93.9128,93.8572,98.1621,95.2262,93.9645,95.1336,100.4407,94.4184,92.7979,95.2188,94.7499,94.151,89.2041,96.8837,95.4172,91.6601,97.3603,94.6575,92.7827,95.622
1991-02-01,105.6201,96.0091,93.2676,90.7629,94.4063,94.5270,93.9962,90.3728,96.2406,95.4725,100.7055,93.7301,97.0053,93.1466,92.9787,95.4255,93.8063,102.5201,95.1874,96.5271,94.0465,89.1250,94.3329,90.3583,94.3552,97.9118,95.0837,90.8133,95.6487,93.1807,92.8982,92.9105,97.0570,94.3779,93.5292,94.9372,100.2327,93.8016,91.6672,94.7415,94.2055,93.4677,88.6876,96.068,94.3571,91.4535,96.0857,94.2325,91.5146,95.4503
1991-03-01,109.7152,99.7462,95.7329,93.5394,97.7791,98.9836,97.6477,91.0326,97.5780,98.3864,104.1461,96.9829,101.0009,95.5922,95.3289,98.2527,97.6870,106.7412,99.3235,100.4121,96.4628,90.1089,97.9113,92.3987,97.1104,100.1540,98.4093,92.7434,98.7296,96.7178,96.3491,95.9602,101.5662,97.9624,96.1705,97.7115,103.5086,96.4203,95.2609,98.0552,96.9642,96.1424,89.9548,99.4127,99.6488,92.2336,100.2834,96.8049,96.2485,96.9011
1991-04-01,109.8041,100.8843,96.3683,94.1925,98.7235,100.6601,98.9718,91.1430,98.1370,99.2301,104.0558,98.1857,101.8960,96.3824,95.9323,99.0876,99.1402,108.2848,100.6671,101.9385,97.2584,90.3839,99.1787,93.0601,98.1797,100.3718,99.5866,93.5308,99.2694,97.9453,97.5977,96.7295,103.1679,99.1673,96.9665,98.5900,103.9292,97.3163,96.7254,99.1760,98.2458,97.1087,90.19,100.1104,101.9059,92.4279,101.407,97.7452,98.3362,97.0096
